"","CHOW_BAS_1","CHOW_BAS_2","CHOW_BAS_3","CHOW_BAS_4","CHOW_BAS_5","CHOW_BAS_6","CHOW_BAS_7","CHOW_BAS_8","CHOW_BAS_9","CHOW_BAS_10","CHOW_BAS_11","CHOW_BAS_12","CHOW_INS_1","CHOW_INS_2","CHOW_INS_3","CHOW_INS_4","CHOW_INS_5","CHOW_INS_6","CHOW_INS_7","CHOW_INS_8","CHOW_INS_9","CHOW_INS_10","CHOW_INS_11","CHOW_INS_12","HFD_BAS_1","HFD_BAS_2","HFD_BAS_3","HFD_BAS_4","HFD_BAS_5","HFD_BAS_6","HFD_BAS_7","HFD_BAS_8","HFD_BAS_9","HFD_BAS_10","HFD_BAS_11","HFD_BAS_12","HFD_INS_1","HFD_INS_2","HFD_INS_3","HFD_INS_4","HFD_INS_5","HFD_INS_6","HFD_INS_7","HFD_INS_8","HFD_INS_9","HFD_INS_10","HFD_INS_11","HFD_INS_12","REV_BAS_1","REV_BAS_2","REV_BAS_3","REV_BAS_4","REV_BAS_5","REV_BAS_6","REV_BAS_7","REV_BAS_8","REV_BAS_9","REV_BAS_10","REV_BAS_11","REV_BAS_12","REV_INS_1","REV_INS_2","REV_INS_3","REV_INS_4","REV_INS_5","REV_INS_6","REV_INS_7","REV_INS_8","REV_INS_9","REV_INS_10","REV_INS_11","REV_INS_12"
"CHOW_BAS_11",0.870994182382901,0.877835282583046,0.880664976897564,0.874935401115785,0.898034542890984,0.886649541006944,0.891070305167816,0.889164379492761,0.878786256643648,0.873229925518314,1,0.868544677471356,0.848461432923593,0.882802513682009,0.869481212956732,0.864631539265933,0.861223352190438,0.865752852809028,0.866958248777258,0.881495240933626,0.884328329531453,0.888426142612623,0.895875332678461,0.878275043906547,0.838242826380765,0.866030839541077,0.86685451972099,0.875837871048518,0.897507714266977,0.87550221171117,0.879822203474671,0.854991368763318,0.843595599688605,0.882672469146666,0.905234590988911,0.862222372965564,0.850651380119884,0.855488457629388,0.875400445982961,0.861404901384478,0.865312309556826,0.868865267124104,0.814981861951893,0.822710702404717,0.850876000007947,0.841800919384551,0.851051107812083,0.876265841750592,0.885856929804639,0.886757176058407,0.888646856037195,0.870784878995479,0.864610765083738,0.874693566122058,0.848170241374727,0.846577833964247,0.883233336165579,0.871474208710597,0.881549839891286,0.86534403623775,0.874873620820211,0.89239245442026,0.866221234057201,0.86136294097972,0.852377875870465,0.87662141157924,0.866466992241352,0.844485801251015,0.881048186026044,0.885023297809655,0.879018769117366,0.870366990062774
"CHOW_BAS_12",0.819460667311881,0.867724364679084,0.89102319173172,0.893503585278921,0.872171719908955,0.875828806586157,0.905628929927044,0.871473920997379,0.88922286750397,0.889478861621851,0.868544677471356,1,0.790628014256485,0.863269000806862,0.883871882687308,0.879442344751122,0.834446679464467,0.85150443954413,0.87481301535025,0.850872691208773,0.872176826866584,0.901491826525012,0.85855278738267,0.881004377814013,0.769661805891921,0.850740370769841,0.885353387643369,0.893332593900482,0.855381972580121,0.873625811287811,0.890110677375112,0.829560506711103,0.840039554885843,0.885896296836111,0.859761033516821,0.883738467096889,0.802827648456366,0.823450164065779,0.876185664614993,0.883753934274677,0.840222825430874,0.877316999313603,0.836030926139705,0.818925338361191,0.849785142173513,0.844488321155546,0.811563551375659,0.875864085618688,0.842515004031943,0.832619162269927,0.879851945699967,0.887465607017453,0.828448687713818,0.880363323721163,0.86200194755022,0.823677357206041,0.854331964892185,0.885803154252491,0.84224882005002,0.875057683256614,0.823439266113458,0.852445052684438,0.885826225962265,0.87840770997265,0.856695583489022,0.806549419230793,0.866659361813542,0.786747604867004,0.883632659380285,0.887793571281504,0.863108124169235,0.886192767907771
"CHOW_INS_1",0.89747595828433,0.868373829740358,0.829830690754972,0.828649402185985,0.85241035492808,0.832487480339852,0.826616231565565,0.821919745949038,0.81669256568191,0.813361903293339,0.848461432923593,0.790628014256485,1,0.872028275910733,0.846454092149767,0.845847386731819,0.819371502000012,0.865382993215904,0.836851013076321,0.835426066409523,0.832184894965377,0.82880509293449,0.835434614485027,0.819976156170832,0.853110019722869,0.860941254213703,0.845660655518252,0.83391147124763,0.853595651794567,0.829586933099559,0.82912824340999,0.811306918350595,0.792376973787121,0.839862513293504,0.841775278065166,0.805664827400259,0.883666504308018,0.87034873694111,0.833680715284223,0.835157038911195,0.838444526732862,0.837063959118631,0.775389873931539,0.78566710114865,0.813468688779064,0.814537744563279,0.824746327197824,0.822188869394953,0.885286083593816,0.882813074124806,0.850318004358511,0.839130164189628,0.843522180559927,0.822550005850242,0.794440933949542,0.806051724520113,0.826883233487777,0.798967277606571,0.82891477981013,0.810240100430966,0.878122964542216,0.875615993054252,0.818164136691516,0.806028606573893,0.820755846854154,0.852904198990496,0.838886825248528,0.821126771385777,0.838960626332725,0.82043588254336,0.820286788477218,0.81972691375442
"CHOW_INS_2",0.864879233135746,0.924706075145796,0.904365869831993,0.890796148407411,0.872050782858116,0.877394320393785,0.890294183015326,0.85609693018067,0.877920680282485,0.877603116812317,0.882802513682009,0.863269000806862,0.872028275910733,1,0.920030564967075,0.896398370030868,0.868599845012246,0.896359631286822,0.88787844065189,0.86447335472395,0.883688871605939,0.895181960630212,0.877129839525649,0.874162358675095,0.827039772662337,0.902009118554963,0.899063791771324,0.889511552989331,0.878397348451468,0.882069597593206,0.8857504786434,0.841913510855612,0.849725086141666,0.895929211119178,0.86915899610579,0.866990665196829,0.895304963361785,0.896068705306373,0.899461887251903,0.892639918985843,0.869910361175484,0.893957402999025,0.83958627028518,0.813069378576737,0.861397886042421,0.872764422661797,0.82554928549231,0.866986926551565,0.892725919581881,0.901420301843026,0.91041689279758,0.894349696614196,0.855846171354879,0.873828349116406,0.859188893140411,0.832535589824592,0.86230581169118,0.867992817830513,0.859969836583272,0.866758163043413,0.89436546399286,0.918463694169071,0.879020670702699,0.87730422148481,0.871417977936924,0.852827345832355,0.892689504610057,0.825444917943806,0.893965008908538,0.887700045713976,0.875459404984729,0.880372658142479
"CHOW_INS_3",0.841380109254315,0.902418599223651,0.898206421632426,0.902921661247864,0.87561730276204,0.880029910545833,0.918631965675763,0.851933622304264,0.882604025726235,0.88335543513667,0.869481212956732,0.883871882687308,0.846454092149767,0.920030564967075,1,0.92447007165933,0.84409149260078,0.897436300856338,0.893270168753568,0.855198045342451,0.882536069875886,0.913204130812223,0.876106058415682,0.884087654025521,0.805284441991332,0.880175627508208,0.914577731533152,0.909026126108467,0.86994374803728,0.898716880488121,0.904307420344756,0.837159928343644,0.846103146854955,0.903643441089924,0.865721811706907,0.876814398388762,0.863221708312519,0.872813215119371,0.910724246618841,0.9089752342566,0.878360287899955,0.90310333958388,0.842553639950003,0.798727129715376,0.863214126548101,0.881998379373252,0.816283426618536,0.877297314065796,0.880686333054364,0.882090948360064,0.931166131393226,0.923525089374514,0.846984648983915,0.885206037943885,0.864204326407777,0.82458811579342,0.854657003228627,0.865141900349176,0.854267882994862,0.885684758321123,0.868697118270369,0.906199451286207,0.897779629434482,0.906008008914149,0.871490463212423,0.842144107651019,0.896114939574553,0.807858314238356,0.898022427364789,0.89098524756091,0.882594970201251,0.886594003803141
"CHOW_INS_4",0.838883883078775,0.881912870871396,0.900718719050841,0.920487486035721,0.874318524467365,0.88783051034566,0.920195564273485,0.859980983074772,0.879693527231328,0.882100647697338,0.864631539265933,0.879442344751122,0.845847386731819,0.896398370030868,0.92447007165933,1,0.857901112262787,0.887402142099484,0.887302235874518,0.852553660037168,0.880146954753346,0.906451331000006,0.876556989666732,0.877569912080502,0.809114758876913,0.867705850859343,0.90444193692316,0.911494051447344,0.854045303492058,0.887244266250141,0.904666046225282,0.839894133038342,0.848322753051911,0.886215523395335,0.865046642852165,0.873295960206277,0.846783063667253,0.855020151615424,0.918047760588681,0.923420768661963,0.863496040231267,0.896007015977749,0.845107081540914,0.812857165065673,0.864274330009287,0.873957223794342,0.820080936825415,0.87338258990857,0.862508591555355,0.866255602844808,0.915148716265536,0.921042784513116,0.836124542628655,0.879329898685551,0.865926007044343,0.823854143047603,0.858859212018312,0.863999491641474,0.853215158842076,0.873116724468819,0.861553621567841,0.891498600737152,0.904620897042064,0.916228298697645,0.8655586998595,0.830910358534531,0.893448842836499,0.816053194080356,0.889636858445526,0.89059338136341,0.87149699749523,0.89450232455516
"CHOW_INS_5",0.821614085787036,0.827875042442838,0.847998337063062,0.853703671031223,0.857815306153779,0.87688367420249,0.856099589275227,0.865242603023467,0.857069407986444,0.84673061017341,0.861223352190438,0.834446679464467,0.819371502000012,0.868599845012246,0.84409149260078,0.857901112262787,1,0.872695348559266,0.841331992367247,0.865638777885995,0.862074970364239,0.863958205427625,0.882155911482347,0.856397557478846,0.822232567536655,0.836751040461524,0.848983797276383,0.853158065370739,0.849339415991966,0.834087659550329,0.852227111395374,0.855019515099577,0.852483867723829,0.844324530494527,0.872570094679358,0.868010869314847,0.85024709866458,0.843437312899378,0.856872305463813,0.83730113777526,0.84219816059353,0.860538781871356,0.847923115156813,0.851540064332983,0.866963327883758,0.843697617001071,0.836716079384578,0.857858712888997,0.832698432594321,0.842324554513782,0.854447848772308,0.83575132530718,0.838281260342225,0.874378467009103,0.859133658901289,0.852240834508306,0.878608438857125,0.860469862207826,0.845273568785727,0.852454556004422,0.861456581106971,0.850668588355625,0.873433408707062,0.839800325602093,0.868648028812128,0.852787981340116,0.884095061734972,0.841542724232632,0.876221757406515,0.859197721977735,0.860472152811947,0.870119593122006
"CHOW_INS_6",0.841082851725684,0.882215172782577,0.873223703643594,0.876226650454381,0.878100522183863,0.892778324057209,0.877979927023107,0.848829895192204,0.872314615351717,0.852933718523832,0.865752852809028,0.85150443954413,0.865382993215904,0.896359631286822,0.897436300856338,0.887402142099484,0.872695348559266,1,0.89268996112128,0.85785550803376,0.88193213184408,0.87943575445912,0.86886811449079,0.884618933031781,0.822456214160752,0.884688037403948,0.892577434045294,0.883878113337782,0.870081507008654,0.887943938718784,0.872394637251848,0.861383255627923,0.855431322406353,0.891640157205447,0.862904302032412,0.865384927700102,0.884358468559498,0.894912570229482,0.875032801996479,0.885439828888805,0.897627799590965,0.90567599028034,0.827603441142786,0.819108472592449,0.869783986370846,0.86828563741684,0.833684054536643,0.877422041514116,0.87669533562633,0.889525351696736,0.901529261667835,0.889834629896321,0.868119757635051,0.88044355948496,0.839684114407626,0.839403793926113,0.869470897006633,0.846350516209828,0.87469662716515,0.870294646950035,0.875273417383232,0.903904563744743,0.866435606470899,0.86709156310603,0.884262307156952,0.843431084711834,0.879294760819919,0.84047351439158,0.886850362080216,0.874587509044871,0.874569382934732,0.867310903779044
"CHOW_INS_7",0.836942252835848,0.879445308419518,0.918916113650254,0.902872757780061,0.882127660238217,0.878581982528888,0.899686443276636,0.855706719772799,0.873845906405139,0.855510722305852,0.866958248777258,0.87481301535025,0.836851013076321,0.88787844065189,0.893270168753568,0.887302235874518,0.841331992367247,0.89268996112128,1,0.859931787060504,0.891308310563937,0.895656528578004,0.875706246816484,0.884705051575801,0.805434990812892,0.87281876361165,0.890680084769572,0.905647313355037,0.862953301282341,0.881086663496213,0.891537744139925,0.823488899471825,0.838496774778809,0.887514073081251,0.857579474340286,0.860753505461461,0.846724628753325,0.852727982838497,0.893193318849789,0.893285065153271,0.874056418486132,0.893622943988455,0.823760701436271,0.803292481058908,0.855080756532979,0.855015829805472,0.808256505158073,0.879418966150704,0.851470138534839,0.865073743072852,0.890884839088746,0.888328159147101,0.835101087038018,0.858283851850435,0.844610444579245,0.826763791661234,0.857139104449621,0.851072928582796,0.840014277507433,0.854929628056321,0.8499635210644,0.894704648266755,0.883168919591564,0.881273678993662,0.857855808004427,0.827419504196816,0.870343579802444,0.810776909208238,0.878534878740333,0.879101182643036,0.865734205682351,0.881773237721884
"CHOW_INS_8",0.842563529296189,0.844758144774049,0.868731820947801,0.852036801436653,0.887819298732149,0.874229210484021,0.877133808576139,0.900261430542316,0.89155270515547,0.873844901390749,0.881495240933626,0.850872691208773,0.835426066409523,0.86447335472395,0.855198045342451,0.852553660037168,0.865638777885995,0.85785550803376,0.859931787060504,1,0.888303071451431,0.88318316959028,0.873432301062455,0.865142110157707,0.809185752187041,0.836699063334776,0.843746810866464,0.851037667151244,0.889317566681416,0.85306420705803,0.859879373240624,0.852168057387883,0.846049032984501,0.868092164020693,0.878125952389187,0.848907134794824,0.833748282306931,0.832050978328607,0.865939941454208,0.845785800279205,0.852000708602787,0.863423866222252,0.833874212379725,0.856786189975964,0.868762372283757,0.853301447797383,0.84126450813149,0.858784457772217,0.850883430120873,0.844643802527456,0.860066543226926,0.858284843779356,0.87586746985721,0.874689356373578,0.863124007768658,0.857874536552154,0.872832954909283,0.876303066277398,0.858847189769575,0.846111091897807,0.857232850577286,0.864216370438571,0.869572544213788,0.860686423909728,0.855414478963368,0.879653207499944,0.86013295611146,0.862305868075321,0.883971546763198,0.873176113132245,0.879565002410981,0.875317338316544
